epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,1223.48,0.4515,1.1764,0.42867,0.88155,0.94119,0.91577,0.96322,0.90452,0.93791,0.91223,0.94708,0.62498,0.39347,1.34573,0.37685,0.85615,0.000415859,0.000415859,0.000415859
92,1236.23,0.44961,1.17773,0.43371,0.8914,0.9591,0.92623,0.97031,0.91662,0.95621,0.92364,0.9598,0.62254,0.37836,1.3178,0.36085,0.85554,0.000410369,0.000410369,0.000410369
93,1248.56,0.45341,1.19207,0.42871,0.88776,0.94459,0.91859,0.96226,0.89984,0.94361,0.91743,0.95475,0.62207,0.3858,1.34656,0.39619,0.85434,0.000404867,0.000404867,0.000404867
94,1261.62,0.44658,1.22715,0.42608,0.89109,0.93393,0.90968,0.96638,0.90659,0.93417,0.90762,0.95519,0.64732,0.39237,1.28743,0.40652,0.86097,0.000399353,0.000399353,0.000399353
95,1274.11,0.4428,1.18325,0.41368,0.87813,0.94711,0.93019,0.97186,0.9117,0.94534,0.92775,0.96389,0.66796,0.38122,1.19917,0.365,0.85616,0.000393831,0.000393831,0.000393831
96,1288.47,0.44725,1.23881,0.4172,0.886,0.96242,0.91874,0.96806,0.90516,0.95477,0.91645,0.95768,0.65352,0.38763,1.21922,0.38135,0.85732,0.0003883,0.0003883,0.0003883
97,1301.45,0.43272,1.17634,0.41037,0.87946,0.96744,0.9242,0.96806,0.91166,0.96658,0.92058,0.95747,0.67192,0.38051,1.17498,0.36392,0.8568,0.000382762,0.000382762,0.000382762
98,1315.63,0.44224,1.23323,0.405,0.89719,0.94746,0.93891,0.97215,0.91039,0.9505,0.92597,0.96019,0.658,0.37841,1.24299,0.36457,0.84865,0.000377219,0.000377219,0.000377219
99,1329.28,0.43936,1.22033,0.39075,0.88494,0.96139,0.91572,0.97198,0.91086,0.95031,0.91715,0.95696,0.64485,0.37928,1.30677,0.36559,0.85386,0.000371672,0.000371672,0.000371672
100,1342.42,0.44816,1.15402,0.41049,0.88765,0.96397,0.92742,0.97237,0.91484,0.96441,0.917,0.95629,0.64029,0.37254,1.3399,0.35268,0.8482,0.000366121,0.000366121,0.000366121
101,1356.23,0.42009,1.17396,0.41261,0.88189,0.95198,0.94098,0.97362,0.91706,0.94831,0.93671,0.95966,0.65334,0.37985,1.28019,0.34859,0.84889,0.00036057,0.00036057,0.00036057
